CBSA.Title,MedianAnnualStateWages,Year
"Atlanta-Sandy Springs-Roswell, GA",64451,2017
"Boston-Cambridge-Newton, MA-NH",74223,2017
"Chicago-Naperville-Elgin, IL-IN-WI",72808,2017
"Washington-Arlington-Alexandria, DC-VA-MD-WV",79329,2017
"Dallas-Fort Worth-Arlington, TX",79706,2017
"Detroit-Warren-Dearborn, MI",59536,2017
"Houston-The Woodlands-Sugar Land, TX",42366,2017
"Los Angeles-Long Beach-Anaheim, CA",75095,2017
"New York-Newark-Jersey City, NY-NJ-PA",90594,2017
"Miami-Fort Lauderdale-West Palm Beach, FL",42850,2017
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",65918,2017
"Phoenix-Mesa-Scottsdale, AZ",58808,2017
"Riverside-San Bernardino-Ontario, CA",62820,2017
"San Francisco-Oakland-Hayward, CA",102031,2017
